name;state;city;country_code;
PERICLES PARTNERS FOUNDATION INC C/O SUSAN ZIMMERMAN;MA;CHARLESTOWN;US;
The Red Sox Foundation;MA;BOSTON;US;
Greater Boston Real Estate Board Foundation;MA;BOSTON;US;
MASSACHUSETTS COMPETITIVE PARTNERSHIP INC;MA;BOSTON;US;
SHULAMIT & JEHUDA REINHARZ FAMILY FOUNDATION;MA;BROOKLINE;US;
The Sidman Family Foundation;MA;BOSTON;US;
KNIGHTS OF COLUMBUS MA ST COUNCIL CHARITY FD;MA;NORWOOD;US;
UNITED WAY OF GREATER PLYMOUTH COUNTY INC;MA;BROCKTON;US;
EMMANUEL COLLEGE;MA;BOSTON;US;
JOSEPHINE G RUSSELL TRUST C/O MARSHA E RICH ESQ;MA;ANDOVER;US;
SERVICE CENTER OF GREATER LAWRENCE INC C/O JOSEPHINE PAOLINO;MA;ANDOVER;US;
TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION INC;MA;WATERTOWN;US;
FIRST LITERACY INC;MA;BOSTON;US;
THE HORNE FAMILY FOUNDATION;MA;BOSTON;US;
RICHARD K & NANCY L DONAHUE CHRTBL FDTN;MA;LOWELL;US;
DUNN FAMILY CHARITABLE FOUNDATION C/O AHI;MA;ANDOVER;US;
RODMAN RIDE FOR KIDS INC;MA;FOXBOROUGH;US;
THE PROTECTOR GROUP CHARITABLE FOUNDATION INC;MA;SUTTON;US;
COGHLIN SERVICES FUND;MA;WORCESTER;US;
COGHLIN FAMILY FOUNDATION;MA;WESTBOROUGH;US;
BUSHROD H CAMPBELL & ADAH F HALL CHARITY FUND;MA;BOSTON;US;
FUSARO CHARITABLE FOUNDATION;MA;WORCESTER;US;
ADELARD AND VALEDA ROY FOUNDATION;MA;BOSTON;US;
JIM & RUTH COUTURE CHARITABLE FOUNDATION;MA;FITCHBURG;US;
JD FOUNDATION UA DTD 11302000;MA;CHELMSFORD;US;
THE TRACHSEL FAMILY FOUNDATION;MA;NORTH CHATHAM;US;
THE CHT FOUNDATION #95-140340;MA;BOSTON;US;
SAINT FRANCIS COMMUNITY HEALTH CARE INC;MA;WESTBOROUGH;US;
THE MASS MENTORING PARTNERSHIP INC;MA;BOSTON;US;
DAVID R GRENON FAMILY FOUNDATION C/O DAVID R GRENON;MA;SUTTON;US;
THE CLADDAGH FUND CHARITIES INC;MA;BOSTON;US;
THE COUGHLIN FAMILY TRUST;MA;MARBLEHEAD;US;
THE GRIFFIN FOUNDATION INC C/O PAUL MCCOY FAMILY OFFICE SERVICES;MA;BOSTON;US;
Stronge Family Foundation;MA;Westford;US;
THE CAROL A AND JAMES J MCINNIS CHARITABLE TRUST;MA;NORTH ANDOVER;US;
ALFRED N WATSON FAMILY FOUNDATION C/O SUSAN C WATSON;DC;WASHINGTON;US;
THE STEINBERG LALLI CHAR FNDT;MA;ACTON;us;
EBLING FAMILY FOUNDATION;MA;BOSTON;us;
Growing Places Garden Project Inc;MA;Leominster;us;
ALLIANCE TO PROTECT NANTUCKET SOUND INC;MA;HYANNIS;us;
Tufts Health Plan Foundation;MA;Watertown;US;
SEEDING LABS A NON-PROFIT CORPORATION;MA;BOSTON;us;
FRIENDS OF WESTON'S COUNCIL ON AGING INC;MA;WESTON;us;
GREATER HOLYOKE CHAMBER CENTENNIAL FOUNDATION INC;MA;HOLYOKE;us;
BROOKSIDE MOBILE HOMES PARK TENANTS ASSOC INC;MA;ORANGE;us;
NOBLE SCHOOLHOUSE CORPORATION;MA;CHELSEA;us;
SOUTHEASTERN MASS VETERANS HOUSING PROGRAM INC;MA;NEW BEDFORD;us;
American Hockey League;MA;Springfield;us;
The Myrin Institute Inc;MA;Great Barrington;us;
EDWARD J MADDEN MEMORIAL OPEN HEARTS CLUB INC;MA;DALTON;us;
SOCIOLOGICAL INITIATIVES FOUNDATION INC C/O GMA FOUNDATIONS;MA;BOSTON;us;
FRIENDS OF HERITAGE STATE PARK FR INC;MA;FALL RIVER;us;
Contact Collaborations Inc;MA;Northampton;us;
ATLANTIC CHAPTER- APCO INC;MA;NORTON;us;
CHERITON GROVE CORPORATION;MA;WEST ROXBURY;us;
NEW ENGLAND BUS ASSOCIATION;MA;BOSTON;us;
THE HERBERT M KAROL FOUNDATION C/O HMK ENTERPRISES INC;MA;LEXINGTON;us;
ETHEL KENNEDY FOUNDATION;MA;CAMBRIDGE;us;
CAROLINE & SIGMUND SCHOTT FUND;MA;CAMBRIDGE;us;
NEW ENGLAND REGIONAL COUNCIL OF CARPENTERS BUILDING CORP NY;MA;BOSTON;us;
ASSOCIATION OF INDEPENDENTS IN RADIO INC;MA;DORCHESTER;us;
OVEREATERS ANONYMOUS;MA;Peabody;us;
THE OSSORIO FOUNDATION;MA;AMHERST;us;
Association for the Study of Persiante Societies Inc;MA;Cambridge;us;
FRIENDS OF THE ARAVA INSTITUTE LTD;MA;NEWTON CENTRE;us;
Harvard Business School Health Industry Alumni Association Inc;MA;Wellesley Hills;us;
Brookfield Ecumenical Food Pantry;MA;Brookfield;us;
Wellesley Media Corporation;MA;Wellesley;us;
NEWTON JEWISH COMMUNITY AFTER SCHOOL PROGRAM CORPORATION;MA;NEWTON;us;
COLLEGES OF THE FENWAY INC;MA;BOSTON;us;
THE KATIE LYNCH FOUNDATION;MA;WAYLAND;us;
BRIDGEWATER SAVINGS CHARITABLE FOUNDATION INC;MA;RAYNHAM;us;
PREPARATORY FOUNDATION INC;MA;HYDE PARK;us;
FRIENDS OF THE ATTLEBORO ANIMAL SHELTER;MA;ATTLEBORO;us;
JULIE'S FAMILY LEARNING PROGRAM INC;MA;SOUTH BOSTON;us;
SULLIVAN MIDDLE SCHOOL PTO;MA;LOWELL;us;
THE JACOB BRADBURY BEAN FOUNDATION;MA;DUXBURY;us;
THE BAUDOIN FAMILY FOUNDATION INC C/O PATRICIA BAUDOIN;MA;CAMBRIDGE;us;
South Boston Community Development Foundation Inc;MA;Boston;us;
Belmont Community Media Center Inc;MA;Belmont;us;
FRONTIER COMMUNITY ACCESS TELEVISION INC;MA;SUNDERLAND;us;
FORWARD IN HEALTH INC;MA;GARDNER;us;
NEEDHAM COMMUNITY FARM INC;MA;NEEDHAM;us;
GLOUCESTER HOUSING INC;MA;DANVERS;us;
HERBERT O WOLFE FOUNDATION;MA;BELMONT;us;
NYS Association of Nurse Anesthetists Inc co McKenna Mgmt;MA;Westford;us;
AMERICAN BOARD OF DERMATOLOGY INC;MA;NEWTON;us;
NATIONAL BUREAU OF ECONOMIC RESEARCH INC;MA;CAMBRIDGE;us;
COLUMBIA UNIVERSITY-PRESBYTERIAN HOSPITA SCHOOL OF NURSING ALUMNI ASSOCIATION IN;MA;WESTFORD;us;
SCANDINAVIAN SEMINAR;MA;AMHERST;us;
WORLD EDUCATION INC;MA;BOSTON;us;
NATIONAL TAY-SACHS & ALLIED DISEASES ASSOCIATION INC;MA;BRIGHTON;us;
NATIONAL BIOMEDICAL RESEARCH FOUNDATION INC;MA;WALTHAM;us;
The Temple of Understanding Inc;MA;West Tisbury;us;
THE ALBERT SCHWEITZER FELLOWSHIP;MA;BOSTON;us;
E3 Initiative Foundation USA c/o Matthew Glynn;MA;Plymouth;us;
SOCIETY FOR CLINICAL & EXPERIMENTAL HYPNOSIS INC;MA;CHELSEA;us;
A CHILD WAITS FOUNDATION;NY;PURCHASE;us;
Accion International;MA;Cambridge;us;
NATIONAL ROWING FOUNDATION INC;CT;NORTH STONINGTON;us;
BERKSHIRE CHORAL INTERNATIONAL INC;MA;SHEFFIELD;us;
JAPANESE ART SOCIETY OF AMERICA INC;MA;LEXINGTON;us;
AMERICAN FUND FOR ALTERNATIVES TO ANIMAL RESEARCH;MA;GEORGETOWN;us;
AMERICAN FRIENDS OF THE OXFORD CENTER FOR HEBREW AND JEWISH STUDIES I;MA;Newton;us;
UNION FOR RADICAL POLITICAL ECONOMICS INC;MA;AMHERST;us;
THE WILLIAM AND JACQUELINE SHAW FAMILY FOUNDATION INC;MA;LINCOLN;us;
THE LOGOS ENCOUNTER INC;MA;BERLIN;us;
UNITED STATES AMATEUR BOXING INC METROPOLITAN ASSOCIATION;MA;DOVER;us;
THE HERMAN KARPEL MEMORIAL FOUNDATION INC;MA;GREAT BARRINGTON;us;
HH MONKEY HELPERS FOR THE DISABLED;MA;BOSTON;us;
NORTHEASTERN SOCIETY OF PLASTIC SURGEONS;MA;BEVERLY;us;
JOURNAL OF FEMINIST STUDIES IN RELIGION INC;MA;CAMBRIDGE;us;
CASHMERE & CAMEL HAIR MANUFACTURERS INSTITUTE;MA;BOSTON;us;
NATIONAL ORGANIZATION FOR RARE DISORDERS INC;MA;QUINCY;us;
EDNA Y SCHWARTZ SCHOLARSHIP FUND;MA;LENOX;us;
NEW CYCLE FOUNDATION C/O PEREGRINE FINANCIAL CORP;MA;DANVERS;us;
MELODIOUS ACCORD INC;MA;HAWLEY;us;
PHILLIPS-GREEN FOUNDATION INC C/O JANET GREEN;MA;TRURO;us;
THE RUSTY STAUB FOUNDATION INC;MA;PEABODY;us;
AMHERST EARLY MUSIC INC;MA;NEWTON;us;
THE PLATO MALOZEMOFF FOUNDATION;MA;LINCOLN;us;
THE WELLSPRING FOUNDATION C/O BERGER KATZ WEISHAUS;MA;CANTON;us;
ELLIS L PHILLIPS FOUNDATION;MA;BOSTON;us;
DEBTORS ANONYMOUS GENERAL SERVICE BOARD INC;MA;NEEDHAM;us;
MORRIS GINSBERG FAMILY FOUNDATION;MA;BROOKLINE;us;
Daniele Agostino Derossi Foundation;MA;Lexington;us;
VOLPI FOUNDATION FOR THE PERFORMING ARTS INC;MA;NEWTON;us;
SOCIETY FOR THE HISTORY OF AUTHORSHIP READING & PUBLISHING;MA;AMHERST;us;
INITIATIVE FOR A COMPETITIVE INNER CITY INC;MA;ROXBURY;us;
AMERICAN FRIENDS OF GEORGIA INC;MA;TRURO;us;
DAVID JACOB ORANSKY MEMORIAL;MA;LENOX;us;
BULOVA GALE FOUNDATION;MA;LENOX;us;
POLLY HILL ARBORETUM INC;MA;WEST TISBURY;us;
The Eric and Edith Siday Charitable Foundation;MA;Boston;us;
JOHNSON O'CONNOR RESEARCH SUPPORT CORPORATION;MA;BOSTON;us;
THE HOSOKAWA FAMILY FOUNDATION;MA;GREAT BARRINGTON;us;
ROOM TO GROW NATIONAL INC;NY;NEW YORK;us;
Morris Gordon Foundation For Photography;MA;PRIDES CROSSING;us;
BERNARD AND JUDY CORNWELL FOUNDATION INC;MA;CHATHAM;us;
The Evergreen Charitable Fund Inc co Albert Nierenberg;MA;Boxford;us;
THE DOBBINS FOUNDATION CO MICHELE DODGE DIRECTOR;MA;WORTHINGTON;us;
JEROLAMON CHARITABLE TRUST (C/O JOHN EDMONDSON TRUSTEE);MA;ARLINGTON;us;
VBS Foundation Inc;MA;Belmont;us;
SLEEPING WEAZEL INC;MA;NORTH ATTLEBORO;us;
DAVID & MARY BARROS FOUNDATION INC;MA;SCITUATE;us;
AFRICAN HEALTH FOUNDATION INC;MA;FRAMINGHAM;us;
BROOKLINE BASEBALL INC;MA;BROKLINE;us;
WEIR LANDING INC;MA;BREWSTER;us;
NEIGHBORS WHO CARE INC;MA;WALTHAM;us;
HOUSE OF POSSIBILITIES INC;MA;NORTH EASTON;us;
METALWERX INC;MA;WALTHAM;us;
VOICE HEALTH INSTITUTE;MA;BOSTON;us;
THE MARY LINCOLN JOHNSON CHARITABLE FOUNDATION C/O KING & NAVINS PC;MA;WELLESLEY;us;
T BACKER FUND INC;NY;CHATHAM;us;
Integrate Health Inc Prev Hope Through Health Inc;MA;Medway;us;
ABBY KELLEY FOSTER EDUCATIONAL FOUNDATION INC;MA;WORCESTER;us;
COMMUNITY FOUNDATION FOR NANTUCKET INC;MA;NANTUCKET;us;
SPED Watch Inc;MA;Norfolk;us;
NEW ENGLAND CHRISTIAN MEDIA INC;MA;SEEKONK;us;
DAVID M SULLIVAN MEMORIAL FOUNDATION INC;MA;NORWELL;us;
Womanade at The Pinehills Inc co The Summerhouse;MA;Plymouth;us;
NACO;MA;BOSTON;us;
Farm Education Inc;MA;Sheffield;us;
GORDON FAMILY FOUNDATION C/O MICHAEL S GORDON TRUSTEE;MA;BOSTON;us;
Harrington Physician Services Inc;MA;Southbridge;us;
ROOSEVELT WARM SPRINGS FOUNDATION C/O CHOATE HALL & STEWART;MA;BOSTON;us;
ASSOCIATION OF YMCA PROFESSIONALS;IL;CHICAGO;us;
ARCHAEOLOGICAL INSTITUTE OF AMERICA;MA;BOSTON;us;
OCF FOUNDATION INC;MA;ALFORD;us;
SOCIETY OF TWO HUNDRED GENTLEMEN SENIOR GOLFERS INC;MA;MARSTONS MILLS;us;
The Louis & Nettie Horch Foundation;MA;Amherst;us;
BULL'S HEAD FOUNDATION INC;MA;GROTON;us;
The Delphic Trust;MA;Boston;us;
FRIENDSHIP FUND INC C/O GMA FOUNDATIONS;MA;BOSTON;us;
GEORGIA HUME EVANS MEMORIAL INC;MA;YARMOUTH PORT;us;
PAUL HELLMAN FOUNDATION;MA;WESTWOOD;us;
Charlotte Palmer Phillips FoundationInc C/O Kotin Crabtree & Strong LLP;MA;Boston;us;
SHETHAR FOUNDATION INCORPORATED;MA;BOXFORD;us;
THE ART AND CREATIVE MATERIALS INST INC;MA;HINGHAM;us;
THE LAGEMANN FOUNDATION CO CARTER S BACON JR;MA;BOSTON;us;
Melvin and Sylvia Kafka Foundation co Sara Suchman;MA;Cambridge;us;
UNITED STATES COURT TENNIS ASSOCIATION INC;MA;BOSTON;us;
LEO H BENDIT CHARITABLE FOUNDATION C/O DR KURT BLOCH;MA;CHESTNUT HILL;us;
QUEBEC-LABRADOR FOUNDATION INC;MA;IPSWICH;us;
HENRY & ANN GARFINKLE FOUNDATION INC;MA;VINEYARD HAVEN;us;
THE WILLIAM P GOLDMAN AND BROTHERS FOUNDATION INC;MA;ARLINGTON;us;
THE SAMUEL RUBIN FOUNDATION INC;MA;CAMBRIDGE;us;
THE BESSIE RATTNER FOUNDATION;MA;FLORENCE;us;
NEW ENGLAND APPAREL CLUB INC;MA;WESTBOROUGH;us;
BRUNER FOUNDATION INC FOUNDATON;MA;CAMBRIDGE;us;
TRINITY COLLEGE SCHOOL FUND INC;MA;Beverly Farms;us;
THE PERKIN FUND;MA;SOUTH HAMILTON;us;
A C N M FOUNDATION INC;MA;CAMBRIDGE;us;
JMR BARKER FOUNDATION C/O BALLENTINE PARTNERS LLC;MA;WALTHAM;us;
JOHNSON & JOHNSON VEBA TRUST;MA;QUINCY;us;
Fair Share Foundation;MA;Pelham;us;
THE CHH CHARITABLE TRUST;MA;SHELBURNE FALLS;us;
UNGAR FOUNDATION;MA;GREAT BARRINGTON;us;
THE CAUSE DU JOUR FOUNDATION C/O FINAGLE A BAGEL & LAURA B TRUST;MA;NEWTON;us;
SHIRLEY BROWNRIGG CHARITABLE TRUST;MA;WILLIAMSTOWN;us;
AHN FAMILY FOUNDATION;FL;JACKSONVILLE BEACH;us;
HERMAN AND FRIEDA L MILLER FOUNDATION C/O GMA FOUNDATIONS;MA;BOSTON;us;
The Henrietta & David Whitcomb Family FD C/O BerryDunn;MA;Waltham;us;
ISO NEW ENGLAND INC RETIREE MEDICAL DENTAL AND LIFE TRUST;MA;HOLYOKE;us;
ALICE SHAVER FOUNDATION;MA;WILLIAMSTOWN;us;
SUSAN M DEUTSCH FOUNDATION;MA;BOSTON;us;
EPSILON ETA ZETA OF LAMBDA CHI ALPHA INC;MA;SOUTH BOSTON;us;
New York & New England Apple Institute Inc;MA;Hatfield;us;
VOCATIONAL ADVANCEMENT CENTER INC;MA;WATERTOWN;us;
THE MANZANAR PROJECT FOUNDATION;MA;WENHAM;us;
NORTHEAST AQUATIC PLANT MANAGEMENT SOCIETY INC;MA;Harvard;us;
LINDEN PONDS INC;MA;HINGHAM;us;
Jeffrey Baum Charitable Foundation;MA;Brookline;us;
CHARLES RIVER DRESSAGE ASSOCIATION INC;MA;WEST BRIDGEWATER;us;
MOTHERWOMAN INC;MA;SPRINGFIELD;us;
Fraternal Order of Police;MA;Norton;us;
The Sizer Foundation Inc;MA;Devens;us;
BLUEFISH BOOSTERS INC C/O DONNA KRAMER TREASURER;MA;RAYNHAM;us;
ORLEANS POND COALITION INC;MA;ORLEANS;us;
SEMPO Inc;MA;Wakefield;us;
THE CAMBRIDGE SCHOOL OF WESTON INC;MA;WESTON;us;
HackHarvardCollege;MA;Cambridge;us;
SCIENCE CLUB FOR GIRLS INC;MA;CAMBRIDGE;us;
MATTY OLIVEIRA MEMORIAL FUND INC;MA;FAIRHAVEN;us;
PRESENTATION SCHOOL FOUNDATION INC;MA;BRIGHTON;us;
THE CENTER FOR CAMPUS FIRE SAFETY INC;MA;NEWBURYPORT;us;
FRIENDS OF THE WILLIAM E CARTER SCHOOL;MA;BOSTON;us;
FRIENDS OF THE CHESTER C CORBIN LIBRARY INC;MA;WEBSTER;us;
MASS BAY GIRLS LACROSSE LEAGUE;MA;GROTON;us;
GRANBY EDUCATORS ASSOCIATION INC;MA;GRANBY;us;
SERVANTS FOR HAITI INC;MA;Westford;us;
BROCKTON CULTURAL ARTS INC;MA;BROCKTON;us;
AFRICAN COMMUNITY EDUCATION PROGRAM INC;MA;WORCESTER;us;
WELLFLEET PRESERVATION HALL INC;MA;WELLFLEET;us;
CHILDREN'S WELLBEING FOUNDATION F/K/A CHILDREN WITHOUT BORDERS INC;MA;MILTON;us;
TITLE IX GIRLS RUNNING CLUB;MA;CAMBRIDGE;us;
CAPE COD REUNITED FOOTBALL CLUB INC;MA;SANDWICH;us;
ST MARY SENIOR LIFE FOUNDATION OF LYNN INCORPORATED;MA;LYNN;us;
REBUILD AFRICA INC;MA;CAMBRIDGE;us;
The Julian Reiss Foundation Inc;MA;Hamilton;us;
KATHRYN COONS TUW;MA;LENOX;us;
Adirondack 46R Conservation Trust;ME;Yarmouth;us;
BRUGGEMAN URBAN CEMETERY TRUST;MA;LENOX;us;
CREATIVE EDUCATION FOUNDATION INC;MA;SCITUATE;us;
Frontier Science & Technology Research Foundation Inc;MA;Brookline;us;
National Pressure Injury Advisory Panel co McKenna Management;MA;Westford;us;
Munschauer Family Foundation;MA;Boston;us;
NORTH CENTRAL MA CRA COALITION INC;MA;FITCHBURG;us;
THE SARA GRECO AND LUCY MUFFOLETTO FOUNDATION;MA;WINCHESTER;us;
Northeast Chapter of the ADSC;MA;Southborough;us;
NATIONAL CELIAC ASSOCIATION INC;MA;NEEDHAM;us;
NEW THING INC;MA;Ipswich;us;
SOUTH MOUNTAIN COMPANY FOUNDATION;MA;WEST TISBURY;us;
Friends of Pilgrim Squandron Inc;MA;Plymouth;us;
WEST WARREN LIBRARY ASSOCIATION INC;MA;WEST WARREN;us;
LAW ENFORCEMENT ACTION PARTNERSHIP INC;MA;MEDFORD;us;
HEALTH IS WEALTH FOUNDATION INC;MA;CARLISLE;us;
495 METROWEST CORRIDOR PARTNERSHIP INC;MA;WESTBOROUGH;us;
BAR NI COMMUNITY SERVICE FUND C/O CABOT-WELLINGTON LLC;MA;BOSTON;us;
WELLFLEET TELECOMMUNICATORS UNION MASS COP LOCAL 326B;MA;WELLFLEET;us;
ANDOVER COUNTRY DAY SCHOOL INC;MA;ANDOVER;us;
DISCOVER QUINCY INC;MA;QUINCY;us;
RESNICK SULLIVAN FOUNDATION INC;MA;NEWTON;us;
A3D INCORPORATED;MA;SALEM;us;
MEMORIAL PARENT TEACHER ORG INC;MA;UPTON;us;
Professional Development Collaborative;MA;Belmont;us;
IN THE SPOTLIGHT DANCE COMPANY INC;MA;TAUNTON;us;
FRIENDS OF B-R ATHLETICS INC;MA;BRIDGEWATER;us;
THE REDWALL FOUNDATION INC C/O FORRESTER RESEARCH INC;MA;CAMBRIDGE;us;
MATCHINGDONORSORG INC;MA;CANTON;us;
THE KURIAN FOUNDATION TRUST;MA;STOW;us;
Cohasset Rotary Charities Foundation Inc;MA;Cohasset;us;
Communities Engaging with Difference and Religion Inc;MA;Newton;us;
Friends of the West Newbury Library Inc;MA;West Newbury;us;
COMMUNITY INROADS INC;MA;NORTH ANDOVER;us;
THE CASE FUND INC C/O WILLIAM F BRADY;MA;FRANKLIN;us;
International Medical Interpreters Association Inc;MA;Lexington;us;
GARDENS FOR HEALTH INTERNATIONAL;MA;Cambridge;us;
TANTASQUA EDUCATION FOUNDATION INC;MA;FISKDALE;us;
SECOND CHANCE ANIMAL RESCUEINC;MA;Vineyard Haven;us;
Thoreau Society Inc;MA;Concord;us;
LYNCH SCHOOL PARENTS ASSOCIATION;MA;WINCHESTER;us;
Union of Minority Neighborhoods inc;MA;jamacia plain;us;
Anchor-Cross Ministries;MA;Medford;us;
GRAFTON HILL AMERICAN LEGION BASEBALL CLUB INC;MA;NORTHBOROUGH;us;
THE ALLIANCE OF CHRISTIAN HOME EDUCATION LEADERSHIP;MA;HOLDEN;us;
WORCESTER PUBLIC LIBRARY FOUNDATION;MA;WORCESTER;us;
WILBRAHAM HAMPDEN ACADEMIC TRUST INC;MA;WILBRAHAM;us;
DUXBURY STUDENT UNION ASSOCIATION;MA;DUXBURY;us;
ATLANTIC HOCKEY ASSOCIATION INC;MA;WINTHROP;us;
COLLEGE ACADEMY AND COLLEGE GATE;MA;SOUTH EASTON;us;
OAK GROVE CAPE VERDEAN CULTURAL CENTER INC;MA;ONSET;us;
PLEASANT LAKEPARKER POND ASSOC;ME;CASCO;us;
FRIENDS OF THE HOLBROOK PUBLIC LIBRARY INC;MA;HOLBROOK;us;
WAYLAND PUBLIC SCHOOLS PARENT TEACHER ORGANIZATION INC;MA;WAYLAND;us;
BOSTON FIREFIGHTERS BURN FND INC;MA;DORCHESTER;us;
NEW CREATION FOUNDATION INC;MA;SPRINGFIELD;us;
FIREBIRD ENSEMBLE INC;MA;WELLESLEY;us;
JOHN F KENNEDY HYANNIS MUSEUM FOUNDATION INC;MA;HYANNIS;us;
CONGENITAL HEART SURGEONS' SOCIETY;MA;BEVERLY;us;
LUTHERAN ASSISTED LIVING AT MIDDLETOWN INC;MA;WORCESTER;us;
LUTHER RIDGE AT MIDDLETOWN INC;MA;WORCESTER;us;
PERI SUPPORT FUND INC;MA;AMHERST;us;
SOUTHEASTERN MASSACHUSETTS LAW ENFORCEMENT COUNCIL INC;MA;EAST FREETOWN;us;
FIBERGLASS REINFORCED PLASTICS INSTITUTE INC;MA;WORCESTER;us;
Apostolic Covenant Ministries;MA;Taunton;us;
PLEASANT BAY COMMUNITY BOATING INC;MA;NORTH CHATHAM;us;
FISKE SCHOOL PTO INC;MA;LEXINGTON;us;
JOYCE JAY RAYMOND FOUNDATION INC;MA;MARBLEHEAD;us;
BOSTON WOODWIND SOCIETY INC;MA;CAMBRIDGE;us;
MARSHFIELD YOUTH BASEBALL LEAGUE INC;MA;MARSHFIELD;us;
LOWELL HERITAGE PARTNERSHIP INC;MA;LOWELL;us;
ARTS RESOURCES FOR THE TOWN OF SWAMPSCOTT INC;MA;SWAMPSCOTT;us;
WORCESTER FIREFIGHTERS 6K ROAD RACE INC;MA;Worcester;us;
JAMES A CARROLL FOUNDATION 48R204016;MA;HYANNIS;us;
MECC Home School Connection;MA;Marlborough;us;
FRIENDS OF SLEEPY HOLLOW CEMETERY INC % GEORGE TISDALE;MA;CONCORD;us;
ST VINCENT DE PAUL EXCHANGE STORE INC;MA;FALL RIVER;us;
Bancroft School Parent-Teachers Organiza Inc;MA;Andover;us;
New England Division Marine Corps league;MA;Feeding Hills;us;
MOUNTAIN VIEW SCHOOL PARENT TEACHER ORGANIZATION INCORPORATED;MA;EAST LONGMEADOW;us;
SKY VIEW MIDDLE SCHOOL PARENT TEACHER ORGANIZATION;MA;LEOMINSTER;us;
American Foundation for Bulgaria Inc;MA;BOSTON;us;
DMR FAMILY FOUNDATION INC C/O SRH LLC;MA;NEWTON;us;
MEMORIAL HALL HOUSING INC;MA;IPSWICH;us;
Rawkstars Inc;MA;East Taunton;us;
WAYLAND COMMUNITY POOL INC;MA;WAYLAND;us;
GREENLIGHT FUND INC;MA;BOSTON;us;
CAPE COD GYMNASTICS COMPETITIVE TEAM SUPPORT GROUP;MA;DENNISPORT;us;
AGAPE INTERNATIONAL INC;MA;ASHLAND;us;
FELS FAMILY FOUNDATION ATTN DAVID R OJERHOLM CPA;MA;WORCESTER;us;
SOLIMINE CHARITABLE CORPORATION;MA;LYNN;us;
BERKSHIRE GROWN INC;MA;GREAT BARRINGTON;us;
Endowment Fund of St Augustine Church;MA;Andover;us;
THE HAGERTY FAMILY FOUNDATION;MA;CAMBRIDGE;us;
PUFFER GARNIER FAMILY FOUNDATION INC C/O COHNREZNICK LLP;MA;BOSTON;us;
DR A A DAFTARY MEMORIAL SCHOLARSHIP FUND;MA;WABAN;us;
WILLING SHEPHERDS OF JESUS CHRIST INCORPORATED;MA;LAWRENCE;us;
TOP FLOOR LEARNING INC;MA;PALMER;us;
THE SHARON COOPERATIVE SCHOOL INC;MA;SHARON;us;
WESTWOOD COMMUNITY CHEST;MA;WESTWOOD;us;
REWARDING WORK RESOURCES INC;MA;BROOKLINE;us;
HOPKINTON BASKETBALL ASSOCIATION INC;MA;HOPKINTON;us;
IBEW & UWUA UNION SCHOLARSHIP FUND;MA;GILBERTVILLE;us;
NAGE SEIU LOCAL 5000TRIAL COURT OF MASSACHUSETTS HEALTH AND WELFARE FUND;MA;QUINCY;us;
BERKSHIRE WALDORF HIGH SCHOOL INC;MA;STOCKBRIDGE;us;
CENTER FOR INFORMATION AND STUDY ON CLINICAL RESEARCH PARTICIPATION INC;MA;BOSTON;us;
BOSTON KOREAN ADOPTEES INC;MA;Boston;us;
CORINTHIAN SAILING FOUNDATION INC;MA;MARBLEHEAD;us;
COMMERCIAL FINANCE ASSOCIATION NEW ENGLAND INC;MA;WOBURN;us;
NORTH ANDOVER COMMUNITY MEDIA;MA;NORTH ANDOVER;us;
OPERATION COMIX RELIEF INC;MA;FRAMINGHAM;us;
SCHOOL ON WHEELS OF MASSACHUSETTS INC;MA;EAST BRIDGEWATER;us;
WESTERN MASSACHUSETTS SACRED HARP COMMUNITY INC;MA;NORTHAMPTON;us;
BEDFORD COMMUNITY ACCESS TELEVISION;MA;BEDFORD;us;
ROOT CAUSE INSTITUTE INC;MA;BOSTON;us;
Franklin School PTO;MA;WEST NEWTON;us;
25 SCHOOL STREET INC C/O ROGERSON COMMUNITIES;MA;BOSTON;us;
Masood Family Foundation Inc;FL;Panama City Beach;us;
SCIENCE FROM SCIENTISTS INC;MA;BEDFORD;us;
MASSACHUSETTS CENTER FOR THE BOOK INC;MA;BOSTON;us;
HOUSING PARTNERSHIP VENTURES INC;MA;BOSTON;us;
ACTORS' SHAKESPEARE PROJECT;MA;SOMERVILLE;us;
ACCESS BELLINGHAM AND MENDON INC;MA;BELLINGHAM;us;
MASSEQUALITY EDUCATION FUNDORG INC;MA;BOSTON;us;
BURLINGTON POLICE COMMAND OFFICERS UNION;MA;BURLINGTON;us;
D'YOUVILLE SENIOR LIVING INC;MA;LOWELL;us;
Friends of the Hampden Free Public Library Inc;MA;Hampden;us;
BURKARDT FAMILY FOUNDATION;MA;NORTH ANDOVER;us;
INDEPENDENCE MANOR 3;MA;BRAINTREE;us;
MASSACHUSETTS HEAD START ASSOCIATION;MA;LYNN;us;
FOUR CORNERS MAIN STREET INC;MA;DORCHESTER CENTER;us;
THE GEORGE K PROGIN SCHOLARSHIP FUND C/O DARMODY MERLINO & CO LLP;MA;BOSTON;us;
THE MCCONNELL FAMILY FOUNDATION;MA;HINGHAM;us;
WILLIAM F STANLEY ELEMENTARY SCHOOL PTO;MA;Waltham;us;
Belchertown-Granby Eagles Football Organization Inc;MA;Belchertown;us;
CATHEDRAL HILL HOUSING CORPORATION;MA;HOLYOKE;us;
